municip_code_ibge,year,lon,lat,population,urban10,water_network,total_collected,level18_num,dengue_year,DIR,outbreak
3304409,2004,-44.0790558157139,-22.782154884632,17543,79.17,65.37,88.74,5,0,0,0
3304409,2005,-44.0790558157139,-22.782154884632,17834,79.17,65.37,88.74,5,0,0,0
3304409,2006,-44.0790558157139,-22.782154884632,18122,79.17,65.37,88.74,5,11,60.6997020196446,0
3304409,2007,-44.0790558157139,-22.782154884632,17216,79.17,65.37,88.74,5,2,11.6171003717472,0
3304409,2008,-44.0790558157139,-22.782154884632,18181,79.17,65.37,88.74,5,26,143.006435289588,0
3304409,2009,-44.0790558157139,-22.782154884632,18366,79.17,65.37,88.74,5,4,21.7793749319395,0
3304409,2010,-44.0790558157139,-22.782154884632,17401,79.17,65.37,88.74,5,1,5.74679616114016,0
3304409,2011,-44.0790558157139,-22.782154884632,17517,79.17,65.37,88.74,5,5,28.5437004053206,0
3304409,2012,-44.0790558157139,-22.782154884632,17606,79.17,65.37,88.74,5,1,5.67988185845734,0
3304409,2013,-44.0790558157139,-22.782154884632,17709,79.17,65.37,88.74,5,16,90.3495397820317,0
3304409,2014,-44.0790558157139,-22.782154884632,17768,79.17,65.37,88.74,5,5,28.1404772624944,0
3304409,2015,-44.0790558157139,-22.782154884632,17826,79.17,65.37,88.74,5,123,690.003365870077,1
3304409,2016,-44.0790558157139,-22.782154884632,17850,79.17,65.37,88.74,5,33,184.873949579832,0
3304409,2017,-44.0790558157139,-22.782154884632,17988,79.17,65.37,88.74,5,3,16.6777851901267,0
3304409,2018,-44.0790558157139,-22.782154884632,18451,79.17,65.37,88.74,5,19,102.975448485177,0
3304409,2019,-44.0790558157139,-22.782154884632,18529,79.17,65.37,88.74,5,9,48.5725079604944,0
3304409,2020,-44.0790558157139,-22.782154884632,18605,79.17,65.37,88.74,5,4,21.4995968825585,0
3304508,2001,-43.5392426713986,-22.1600164008555,7758,69.72,80.47,91.8,5,1,12.8899200824955,0
3304508,2002,-43.5392426713986,-22.1600164008555,7872,69.72,80.47,91.8,5,12,152.439024390244,0
3304508,2003,-43.5392426713986,-22.1600164008555,7987,69.72,80.47,91.8,5,0,0,0
3304508,2004,-43.5392426713986,-22.1600164008555,8227,69.72,80.47,91.8,5,0,0,0
3304508,2005,-43.5392426713986,-22.1600164008555,8361,69.72,80.47,91.8,5,0,0,0
3304508,2006,-43.5392426713986,-22.1600164008555,8493,69.72,80.47,91.8,5,0,0,0
3304508,2007,-43.5392426713986,-22.1600164008555,8192,69.72,80.47,91.8,5,0,0,0
3304508,2008,-43.5392426713986,-22.1600164008555,8686,69.72,80.47,91.8,5,1,11.5127791848952,0
3304508,2009,-43.5392426713986,-22.1600164008555,8787,69.72,80.47,91.8,5,1,11.3804483896666,0
3304508,2010,-43.5392426713986,-22.1600164008555,8545,69.72,80.47,91.8,5,3,35.1082504388531,0
3304508,2011,-43.5392426713986,-22.1600164008555,8633,69.72,80.47,91.8,5,36,417.00451754894,1
3304508,2012,-43.5392426713986,-22.1600164008555,8703,69.72,80.47,91.8,5,19,218.315523382742,0
3304508,2013,-43.5392426713986,-22.1600164008555,8783,69.72,80.47,91.8,5,174,1981.09985198679,1
3304508,2014,-43.5392426713986,-22.1600164008555,8838,69.72,80.47,91.8,5,3,33.9443312966735,0
3304508,2015,-43.5392426713986,-22.1600164008555,8892,69.72,80.47,91.8,5,11,123.706702654071,0
3304508,2016,-43.5392426713986,-22.1600164008555,8943,69.72,80.47,91.8,5,9,100.637370010064,0
3304508,2017,-43.5392426713986,-22.1600164008555,8984,69.72,80.47,91.8,5,4,44.5235975066785,0
3304508,2018,-43.5392426713986,-22.1600164008555,9222,69.72,80.47,91.8,5,3,32.5309043591412,0
3304508,2019,-43.5392426713986,-22.1600164008555,9284,69.72,80.47,91.8,5,20,215.4243860405,0
3304508,2020,-43.5392426713986,-22.1600164008555,9344,69.72,80.47,91.8,5,3,32.1061643835616,0
3304524,2001,-41.9467782673802,-22.4543053073548,39046,94.54,59.82,99.39,2,246,630.02612303437,1
3304524,2002,-41.9467782673802,-22.4543053073548,40248,94.54,59.82,99.39,2,446,1108.12959650169,1
3304524,2003,-41.9467782673802,-22.4543053073548,42024,94.54,59.82,99.39,2,46,109.461260232248,0
3304524,2004,-41.9467782673802,-22.4543053073548,45755,94.54,59.82,99.39,2,2,4.37110698284341,0
3304524,2005,-41.9467782673802,-22.4543053073548,47819,94.54,59.82,99.39,2,2,4.18243794307702,0
3304524,2006,-41.9467782673802,-22.4543053073548,49868,94.54,59.82,99.39,2,41,82.2170530199727,0
3304524,2007,-41.9467782673802,-22.4543053073548,74750,94.54,59.82,99.39,2,281,375.919732441472,1
3304524,2008,-41.9467782673802,-22.4543053073548,91085,94.54,59.82,99.39,2,139,152.60470988637,0
3304524,2009,-41.9467782673802,-22.4543053073548,96622,94.54,59.82,99.39,2,13,13.4544927656227,0
3304524,2010,-41.9467782673802,-22.4543053073548,105757,94.54,59.82,99.39,2,193,182.493830195637,0
3304524,2011,-41.9467782673802,-22.4543053073548,110992,94.54,59.82,99.39,2,2131,1919.95819518524,1
3304524,2012,-41.9467782673802,-22.4543053073548,116134,94.54,59.82,99.39,2,339,291.904179654537,0
3304524,2013,-41.9467782673802,-22.4543053073548,122196,94.54,59.82,99.39,2,4166,3409.27689940751,1
3304524,2014,-41.9467782673802,-22.4543053073548,127171,94.54,59.82,99.39,2,97,76.2752514331098,0
3304524,2015,-41.9467782673802,-22.4543053073548,131976,94.54,59.82,99.39,2,1103,835.75801660908,1
